"","country","species","latitude","longitude","year_start","year_end"
"1","Philippines","flavirostris",14.25,121.75,1995,1995
"2","Philippines","flavirostris",14.25,121.75,2002,2002
"3","Philippines","maculatus",14.75,120.25,1992,1993
"27","Viet Nam","minimus",20.75,105.25,1998,1999
"28","Viet Nam","minimus",12.25,108.75,1998,1998
"30","Viet Nam","minimus",12.25,108.75,1999,1999
"31","Viet Nam","minimus",21.25,105.75,1999,1999
"32","Thailand","minimus",14.25,99.25,2000,2000
"33","Thailand","minimus",14.25,99.25,2001,2001
"34","Thailand","minimus",15.25,98.75,1999,2001
"35","Thailand","minimus",12.75,102.25,1985,1987
"41","Thailand","dirus",12.75,102.25,1989,1990
"42","Thailand","dirus",16.75,98.75,2002,2003
"45","Lao People's Democratic Republic","sinensis",17.25,105.25,1998,1998
"46","Thailand","dirus",17.25,98.25,1994,1998
"47","Malaysia","aconitus",5.25,101.25,1990,1990
"48","Thailand","dirus",16.75,98.75,1989,1990
"51","Thailand","dirus",12.75,102.25,1983,1985
"53","Thailand","dirus",12.75,102.25,1984,1984
"55","Thailand","dirus",16.75,98.75,2001,2002
"63","Thailand","minimus",18.25,97.75,1990,1990
"64","Thailand","minimus",18.25,97.75,1991,1991
"71","Thailand","minimus",18.25,97.75,1992,1992
"74","Thailand","maculatus",6.75,100.25,1984,1985
"77","Indonesia","koliensis",-2.75,140.75,1987,1988
"78","Indonesia","sinensis",0.75,97.75,1998,1998
"79","Malaysia","balabacensis",5.25,116.75,1984,1985
"85","Indonesia","koliensis",-2.25,139.75,1996,1999
"86","Indonesia","sundaicus",-5.75,106.75,2000,2000
"87","Indonesia","sundaicus",-5.75,106.25,2000,2000
"88","Indonesia","barbirostris",-6.25,106.75,2001,2001
"89","Indonesia","aconitus",-8.75,115.75,1994,1995
"90","Myanmar","dirus",17.25,96.25,1998,2000
"95","Myanmar","barbirostris",16.75,96.25,1998,2000
"99","Myanmar","barbirostris",16.75,94.75,1998,2000
"101","Myanmar","sundaicus",16.75,94.25,1998,2000
"102","Myanmar","culicifacies",17.75,95.25,1998,2000
"105","Myanmar","dirus",22.25,96.25,1998,2000
"110","Myanmar","culicifacies",21.75,96.25,1998,2000
"111","Myanmar","culicifacies",22.75,95.75,1998,2000
"113","Myanmar","culicifacies",20.75,95.75,1998,2000
"115","Myanmar","barbirostris",20.75,95.25,1998,2000
"116","Myanmar","culicifacies",21.25,94.75,1998,2000
"117","Myanmar","culicifacies",21.25,95.25,1998,2000
"120","Myanmar","culicifacies",22.75,96.25,1998,2000
"122","Myanmar","barbirostris",22.25,96.75,1998,2000
"123","Myanmar","culicifacies",19.75,96.25,1998,2000
"125","Myanmar","culicifacies",21.25,96.25,1998,2000
"126","Myanmar","dirus",20.75,96.25,1998,2000
"127","Myanmar","dirus",20.25,96.25,1998,2000
"130","Myanmar","barbirostris",23.75,94.25,1998,2000
"131","Myanmar","dirus",24.25,94.25,1998,2000
"132","Myanmar","culicifacies",21.75,95.75,1998,2000
"133","Myanmar","barbirostris",22.25,95.25,1998,2000
"134","Myanmar","dirus",24.25,95.75,1998,2000
"135","Myanmar","aconitus",23.75,95.75,1998,2000
"136","Myanmar","barbirostris",24.25,96.25,1998,2000
"139","Myanmar","culicifacies",20.25,94.75,1998,2000
"140","Myanmar","culicifacies",20.75,94.25,1998,2000
"141","Myanmar","culicifacies",21.75,95.25,1998,2000
"142","Myanmar","culicifacies",21.25,94.25,1998,2000
"143","Myanmar","culicifacies",22.25,94.25,1998,2000
"145","Myanmar","culicifacies",20.75,94.75,1998,2000
"146","Myanmar","dirus",20.25,95.75,1998,2000
